职位名称,关键词,薪水月薪,城市,工作经验,公司名称,技能要求,"招聘类型（校招，社招）
","产业链环节	",获取时间,职位详情
网络工程师,数据中心网络,100-150k,广州,无,优托邦UTOPA,云、骨干网、IDC 网络、广域网,社招,数据中心环节,2023/1/11,"1、根据客户需求或业务部门需求，结合现状，在架构师的总体框架方案下，负责骨干网、IDC 网络、广域网等网络系统的规划、设计、运营与优化;
2、负责公有云、私有云、混合云等业务规划、设计和优化;
3、制定网络运维相关的管理规范和流程，构建及优化网络运维管理体系;
4、对客户现场网络环境进行评估，根据客户要求，形成具体的网络设计方案和实施方案;
5、负责项目网络工程的测试、验收和突发事件的快速响应及重大故障的排除;
6、根据行业趋势和市场情况进行产品选型；
7、协助架构师完成架构方案设计、项目方案制订、项目质量、风险、范围和进度控制；"
网络工程师,数据中心网络,9-10k,义乌,3-5年,铭泰机电,网络工程师、证计算机软件,社招,数据中心环节,2023/1/11,订阅号建立，设计，运行。可兼职
网络工程师,数据中心网络,8-13k,菏泽,应届,牧原食品股份有限公司,运维监控、Java、Python、计算机软件、MySQL,校招,数据中心环节,2023/1/11,"岗位职责：
偏硬件
1、负责业务系统建设、全面参与项目的需求分析、架构设计和技术研究及关键技术的开发工作；
2、负责系统的性能、稳定性、可靠性等方面的深度优化；
3、负责解决项目上线后生产环境的各种实际问题，保障生产上的安全、平稳运行。
4·   做好运营商和供应商的开发与管理，合作，建设厂区监控系统，保障厂区运营的安全性；
5、面向现场及相关使用人员进行智能化及网络化培训，提供技术指导；
6、协助做好故障解决，性能优化及日常维护等工作，不断引进新设备，新技术，提高公司工作效率。"
高级网络工程师,数据中心网络,13-18k,武汉,5-10年,迈异科技,NFV、SD-WAN、SDN、VxLAN、OVS、DPDK、NAT、LVS、VxLAN、OVS、DPDK、NAT、LVS,社招,数据中心环节,2023/1/11,"职责描述：
1.数据中心网络架构的规划及设计，制定网络架构方案；
2.对已部署的网络结构提出优化调整意见，并配合方案输出，推动优化；
3.建立完善的网络割接、网络资源管理等流程制度，实现网络标准化管理；
4.开展网络领域新技术研究，为自有数据中心网络发展及优化提供建议；
5.承担相关IT咨询项目的对外支撑及方案输出工作；
6.负责处理突发事件，解决网络故障。"
数据规划,数据中心网络,12-16k,杭州,在校,同花顺,SQL、AI化,校招,数据中心环节,2023/1/11,"1、数据部门股票、债券、财务、宏观等各业务组轮岗，通过轮岗，熟悉业务流程、掌握各岗位所需技能、素质；
2、参与并支持公司各产品线以及数据项目的规划、落地及上线；
3、快速适应公司文化，熟悉业务，完成管培计划；
4、此岗位不涉及数据分析内容。"
数据算法专家,数据中心网络,30-45k,北京,5-10年,阿里云,java，分布式系统,社招,数据中心环节,2023/1/11,".参与弹性计算物理资源池数字供应链体系建设，提供采购、供给、上架、部署、上线、资源隔离体系的建设，为整个阿里巴巴经济体提供算力基础设施 
2.运用数据分析和智能算法，实现算力数字供应链体系建设，包含IDC规划、服务器演进、资源路径规划、库存管理，为数千万算力资源提供算力供给最佳宏观规划决策 
3.负责建设智能资源规划体系，从机型的定制设计、到采购供给、调度搬迁，利用数据分析、智能算法，优化服务器生命周期的每一个环节，最优化资源的供给成本
4.基于自动化的供给产品能力建设，协助客户最大化的用好云，包含容量规划、资源推荐、资源配额、成本管理、风控管理、资源诊断、客户权益等服务建设 "
数据挖掘,数据中心网络,10-18k,成都,一年,绿我健康科技,SAS/Python/R，clementine、SAS、Matlab、SPSS,社招,数据中心环节,2023/1/11,．基于海量用户行为，开发用户画像数据挖掘模型、标签开发与标签评测；2．针对公司大数据产品的业务需求进行数据处理、数学建模、模型开发、模型优化、统计分析、挖掘及存储；3．针对业务问题，选择合适的挖掘算法对产品方案进行实施、验证和优化，并能够熟练应用C/C++/python/R进行研发和测试；
数据挖掘,数据中心网络,6-12k,北京,一年,佳格大数据,docker，python，pytorch,社招,数据中心环节,2023/1/11,"1. 对计算机视觉，时间序列，计算地理，强化学习4个方向中至少对其中2个方向的研习有深度和广度，可以跟踪及掌握该领域的先进技术。
2. 最好有算法比赛（eg.天池，DataCastle,华为云，百度，会议workshop）前二十名次或者实践项目经验。
3. 熟练使用docker，python，pytorch，掌握常用网络框架结构及底层实现原理（例如senet，hrnet，visual tranformer，siamese networks）
4. 实习时间能够持续4个月以上。
5. 能对公司和客户服务中接触到的技术、数据、业务保密。
6. 如果对前后端开发，产品原型图，摄像头数据流，乃至自动化、电子电路动手能力有擅长的话会是加分项。"
数据挖掘,数据中心网络,8-13k,北京,无,北京千喜鹤公司,python，sql,社招,数据中心环节,2023/1/11,"岗位要求：
1、使用分析工具，挖掘数据背后的市场规律为业务决策提供依据；
2、通过数据分析，挖掘业务数据内在联系，发现问题，推动问题解决；
3、根据数据逻辑，对业务进行统计分析，提出优化方案；
4、满足业务对于数据的提取、过滤、分析需求，为项目发展提供有力依据；
5、梳理运营和业务需求，对数据展开多维度分析，独立完成相关分析报表编制、报告撰写等工作，为领导决策提供支持。"
数据挖掘,数据中心网络,20-30k,杭州,3-5年,联运知慧科技,Python、Java、C++、深度学习算法、算法设计,社招,数据中心环节,2023/1/11,"1、 负责平台的核心算法架构和持续迭代优化；
2、 建立和优化业务逻辑模型和数据模型，包括货量预测、履约时效预测、站点布局、排班排产、路径优化等；
3、参与产品方案设计，构建底层算法框架；与产研团队合作，推动算法模型产品化及落地实施。"
数据开发,数据中心网络,20-40k,北京,3-5年,明略科技,大数据、数据仓库、Hadoop、Scala、Java,社招,数据中心环节,2023/1/11,"【职位描述】       
1、负责数据中台项目的规划和架构工作，主导系统的架构设计和核心模块开发，确保项目质量和关键性能指标达成；
2、负责面向PB量级的数据查询、数据计算、数据存储以及数据模型与管理的总体架构与优化，提升数据查询的响应效率；
3、负责研发技术发展方向，新技术领域的探索，将新技术应用到项目；
参与技术团队建设和学习成长，为团队整体的知识积累，技能提升做贡献；"
数据挖掘,数据中心网络,25-50k,杭州,3-5年,阿里集团,深度学习算法、推荐算法、视觉图像算法、算法设计、BI,社招,数据中心环节,2023/1/11,"岗位描述：
1. 国家差异化研究：面向国际用户，分析并挖掘其多元化、差异化、稀疏性等特点，利用多任务学习、小样本学习、迁移学习等，进行global or local的优化；
2. 智能权益研究：基于统计学、机器学习、经济学、运筹优化、因果推理等，研究权益（价格、促销）对用户的行为影响、以及对平台的整体收益影响（如增量成交买家数、增量GMV、增量ROI等），并基于此设计权益投放策略；
3. 用户触达（站外引流）：通过预测AliExpress的素材与用户的匹配程度，将其与用户进行在线分配，从而引导用户来访AliExpress；该问题会涉及资源约束，如单个用户的可触达次数、总的资金预算等；该问题涉及的业务包括PUSH、EDM（邮件营销）、PPC（广告外投）、创意投放等；
4. 全域投放（站内触达）：结合端计算、MDP等，在AliExpress内对用户进行各种素材组合的推送；推送需考虑时机、素材候选、素材组合、用户站内行为周期等；
5. 智能创意生成与投放：利用视觉和文本生成技术做到更加个性化的商品表达，结合用户个性化推荐提升商品的转化效率
6. 用户生命周期管理：将机器学习、强化学习和用户全生命周期管理系统结合，推动智能化的增长模型，包括智能权益模型、用户行为模型、留存率提升模型、决策优化等，提升用户活跃度、留存率，LTV等增长指标；"
数据挖掘,数据中心网络,30-50k,杭州,3-5年,蚂蚁金服,python、机器学习、人工智能、sql,社招,数据中心环节,2023/1/11,"1. 工作内容
  你将加入的是一个广阔的施展平台，你将看到的是千变万化的风险形态，你设计的模型与算法每天要保护成百上亿的隐形资损
  a.利用大规模机器学习算法，建立一套完善的风险预测模型体系，实时与准实时的在上亿级的消费者行为数据中准确定位微弱的风险信号
  b.通过前沿的人工智能算法，打造人工智能驱动的风控引擎，在平衡用户的安全和体验中灵活应对动态多变的欺诈、盗用、作弊等金融风险"
数据挖掘,数据中心网络,20-30k,杭州,1-3年,大箴科技,Python、SQLR语言、深度学习算法、机器学习算法、Hadoop、SPSS,社招,数据中心环节,2023/1/11,"1.挖掘客户需求，负责公司基础产品需求管理和方案沉淀，对接业务线，生态合作伙伴，高效保障重点项目和需求按时上线，并取得业务结果，提升产品竞争力；
2.对多种数据源进行深度诊断性组合分析、挖掘、深度分析和建模；构建产品需求相关业务特征的整体指标体系；
3.沉淀分析思路与框架，提炼数据产品需求，提供数据产品解决方案帮助业务更高效的使用数据，与相关团队（如算法团队） 协作并推动数据产品的落地，为业务提供数据挖掘、模型及算法等相关服务，推动业务部门的数据化运营、产品需求管理机制数据化；
4.建立数据化用户运营体系，实现数据的获取、变现，和全流程的数据监控和数据驱动。能够从用户的角度思考问题，通过数据分析，找出用户痛点，完善用户体验。"
数据挖掘,数据中心网络,20-40k,杭州,3-5年,橙鹰,Python、Java、自然语言处理、Hadoop、HIVE、机器学习算法、深度学习算法、Matplotlib,社招,数据中心环节,2023/1/11,"岗位职责：
1、根据业务、项目、客户的实际情况，提炼业务需求，梳理并整合数据资源，创新数据挖掘能力，应用于SaaS产品，解决业务问题，实现客户价值。
2、研究前沿的数据挖掘技术，沉淀通用数据能力，服务产品和业务发展需求。"
数据挖掘,数据中心网络,15-30k,杭州,无,大数云智,BI、可视化、SQL,社招,数据中心环节,2023/1/11,负责数据价值探索，挖掘各行业客户数据需求，构建有价值的数据指标，构建数据模型，设计多形态的数据价值展现模式。
网络协议研发工程师,数据中心网络,12-18k,长沙,3-5年,国科亿存,Linux、TCP/IP、NetFilter框架,社招,数据中心环节,2023/1/11,"1、负责网络传输加速技术的研发；
2、负责传输协议的持续优化。"
网络技术高级工程师,数据中心网络,20-40k,北京,无,下一代互联网工程中心,IPv6、网络协议、DNS,社招,数据中心环节,2023/1/11,"【岗位职责】
1、围绕以IPv6为中心的先进网络技术，开展持续的研究与国内外技术发展动态跟踪，尤其是IPv6协议演进及扩展、组网等方向；
2、开展技术标准化工作，参与IETF、IEEE、ETSI、ITU、CCSA、TC260等国际国内标准化组织的技术提案撰写、讨论及标准推进工作；
3、开展基于IPv6创新与行业应用融合解决方案的研制，与研发团队协同开展新技术验证及应用工作；
4、参与网络创新及行业融合应用相关项目的申报，技术方案的撰写，支撑项目的落地实施；
5、协同市场及营销团队，共同参加与行业客户的技术交流与探讨，代表公司输出核心技术价值。"
计算机网络工程师,数据中心网络,10-15k,杭州,一年,浙江研基科技,Java、C/C++、Unix、Windows、No、SQLPostgre、SQLRedis、RHCSA,社招,数据中心环节,2023/1/11,"岗位职责:
1、对公司客户提供的技术方案进行专利挖掘，模块流程图的梳理以及程序框图的绘制;
2、系统类专利案件的申请文本的撰写以及修改。"
网络编程工程师,数据中心网络,15-19k,北京,无,六方云,TCP/IP、PLC,校招,数据中心环节,2023/1/11,"岗位职责：
1、基于工控研究，从技术角度推动产品技术转化。
2、负责多个品牌工控系统协议研究。例如：施耐德，西门子等
3、负责多个品牌监控软件操作研究。例如wincc、IFIX、Citect等；
4、负责工业互联网安全研究；"
SDN/NFV网络虚拟化研发工程师,数据中心网络,20-30k,深圳,3-5年,腾讯,NAT、VPN、负载均衡、SDN、NFV、overlay、linux,社招,数据中心环节,2023/1/11,"负责腾讯云云网络架构设计和研发；
负责对客户业务需求提供合理的网络方案，抽象客户需求共性，设计标准、通用的产品功能，并且推动项目实施落地。"
网络技术工程师,数据中心网络,20-25k,杭州,在校,华为,Java,校招,数据中心环节,2023/1/11,"在这里，可以成长为：懂全球最先进ICT网络技术的专家。
1、负责产品服务端到端解决方案的设计，主导交付方案的系统集成，确保项目的成功交付和网络稳定运行；
2、负责产品解决方案可服务性的构建，基于网络及产品的演进，进行前瞻性的可服务方案设计，实现低成本、高质量、数字化交付；
3、负责产品的交付工具设计，基于AI和数字化技术，构建面向未来的交付工具体系，支撑交付数字化转型。

陈女士
在线"
